Код товара в старой базе;Наименование в старой базе;Код товара в Новой базе;Наименование в новой базе
СТ0002455  ;"зам. Свинина для запекания ""Имперская""";00000001266;"Свинина для запекания  ""Имперская""  зам.упак"
СТ0002457  ;"зам. Свинина духовая ""Имперская""";00000001267;"Свинина духовая  ""Имперская""  зам.упак"
СТ0002460  ;"зам. Шницель натуральный ""Имперский""";00000001268;"Шницель  натуральный ""Имперский"" из свинины зам.упак"
СТ0002456  ;"зам. Свинина для поджарки ""Имперская""";00000001269;"Свинина для поджарки  ""Имперская""  зам.упак"
УП0000843  ;"Мясо для шашлыка ""Имперское"" в/уп.";00000001270;"Мясо для шашлыка ""Имперское"" из свинины зам.упак"
УП0002590  ;"Шашлык из свинины"" 1,8кг охл.";00000001273;Шашлык из свинины 1,8 кг охл. упак
УП0001865  ;"Шашлык ""Традиционный"" из свинины1,8кг охл";00000001274;"Шашлык ""Традиционный"" из свинины 1,8 кг охл.упак"
УП0001864  ;"Шашлык ""По-Карски""1,8кг  охл";00000001275;Шашлык по-Карски  из свинины 1,8 кг охл.упак
УП0001863  ;"Шашлык ""По-Баварски""1,8кг охл";00000001276;Шашлык по-Баварски  из свинины 1,8 кг охл.упак
УП0000111  ;охл. Шашлык по Баварски ;00000001277;Шашлык по-Баварски  из свинины  охл. вак.упак
УП0002589  ;"Шашлык из свинины"" 1,8кг зам.";00000001279;Шашлык из свинины 1,8 кг зам, упак
УП0001819  ;"Шашлык ""Традиционный"" из свинины1,8кг зам";00000001280;"Шашлык  ""Традиционный""из свинины   1,8 кг зам, упак  "
УП0001821  ;"Шашлык ""По-Карски""1,8кг зам";00000001281;Шашлык  по-Карски из свинины 1,8 кг зам, упак
УП0000107  ;зам.Шашлык по Баварски ;00000001282;Шашлык  по-Баварски  из свинины  зам, упак
СТ0002452  ;зам Шашлык по Баварски;00000001282;Шашлык  по-Баварски  из свинины  зам, упак
УП0001820  ;"Шашлык ""По-Баварски""1,8кг зам";00000001283;Шашлык  по-Баварски  из свинины 1,8 кг  зам.упак
УП0004434  ;Ребрышки п/ф свиной мелкокусковой мясокостный кат Б;00000001398;Ребрышки п/ф свиной зам.упак
УП0000086  ;Рагу из свинины;00000001399;Рагу  свиное  зам.упак
УП0005094  ;Передняя голяшка свиная с/к в/шк в/у  зам;00000001400;Рулька свиная в шк. с костью  зам.упак
СТ0007683  ;Рагу из говядины.;00000001404;Рагу  гов  зам.упак
УП0001238  ;Тазобедренный отруб св. на кости в шк. зам;00000002310;Тазобедренный отруб на кости
УП0005286  ;Тазобедренный отруб свиной  с голяшкой в/шк на кости охл,;00000002310;Тазобедренный отруб на кости
СТ0005222  ;Мясо фасованое св.морож.(тазобедрен.отруб);00000002310;Тазобедренный отруб на кости
УП0001351  ;Срезка шкурки свиной;00000002311;Срезка шкурки свиной
УП0000605  ;Корейка с костью б\ш;00000002312;Корейка с костью б\ш
УП0000581  ;Мясо свиных голов к;00000002390;Мясо свиных голов п\ф
УП0000682  ;Жилка свиных голов к.;00000002392;Жилка свиных голов п\ф
